Word / POS / COUNT
popping / VERB / 1
dolphins / NOUN / 1
sat / VERB / 4
stern / NOUN / 3
any / DETERMINER / 20
luck / NOUN / 2
shook / VERB / 2
sliding / VERB / 1
face / NOUN / 6
mask / NOUN / 4
forehead / NOUN / 2
edge / NOUN / 2
pulling / VERB / 1
carefully / None / 2
placed / VERB / 3
across / PREPOSITION / 3
lifted / VERB / 1
wet / ADJECTIVE / 2
hair / NOUN / 2
squeezed / VERB / 1
break / NOUN / 1
area / NOUN / 9
less / DETERMINER / 3
square / NOUN / 2
mile / NOUN / 1
added / VERB / 2
legs / NOUN / 4
news / NOUN / 3
tossed / VERB / 2
towel / NOUN / 1
repeated / VERB / 2
service / NOUN / 5
cigarette / NOUN / 1
slipped / VERB / 2
feet / NOUN / 8
reached / VERB / 5
smoke / NOUN / 1
swing / VERB / 1
fin / NOUN / 1
foot / NOUN / 2
caught / VERB / 2
moulding / NOUN / 1
throwing / VERB / 1
balance / NOUN / 1
forearm / NOUN / 1
smashed / VERB / 1
painfully / None / 1
narrow / ADJECTIVE / 2
washboard / NOUN / 1
grimaced / VERB / 1
grabbed / VERB / 2
bruised / VERB / 1
limb / NOUN / 1
other / DETERMINER / 24
kee-reist / OTHER / 1
! / OTHER / 20
word / NOUN / 2
hissed / VERB / 1
distinctly / None / 1
lips / NOUN / 1
struggled / VERB / 1
nick's / NOUN / 6
body / NOUN / 7
rigid / ADJECTIVE / 1
brilliant / ADJECTIVE / 2
glare / NOUN / 1
horror / NOUN / 1
creased / VERB / 1
pain / NOUN / 4
studied / VERB / 2
underside / NOUN / 1
arm / NOUN / 2
murderer / NOUN / 2
quickly / None / 4
too / None / 3
shocked / VERB / 1
surprise / NOUN / 1
instinctively / None / 2
charged / VERB / 1
atmosphere / NOUN / 3
looking / VERB / 1
implication / NOUN / 1
oath / NOUN / 1
frozen / VERB / 1
mannequin / NOUN / 1
motionless / ADJECTIVE / 2
then / ADJECTIVE / 2
knew / VERB / 5
recovered / VERB / 1
might / MODAL_AUXILIARY / 9
imagined / VERB / 2
reaction / NOUN / 3
bandage / NOUN / 1
steadily / None / 1
rubbed / VERB / 1
banging / VERB / 1
shin / NOUN / 1
lingered / VERB / 1
moved / VERB / 3
hurts / NOUN / 1
second / NOUN / 2
disappears / VERB / 1
get / VERB / 14
ointment / NOUN / 1
turned / VERB / 6
companionway / NOUN / 1
walk / NOUN / 1
steady / ADJECTIVE / 2
slow / ADJECTIVE / 1
telegraphing / VERB / 1
sensed / VERB / 1
springing / VERB / 1
cat / NOUN / 1
leaped / VERB / 1
swooped / VERB / 1
spring / NOUN / 4
whirling / VERB / 2
pointed / VERB / 1
instant / NOUN / 3
hit / VERB / 1
barrel / NOUN / 1
smaller / ADJECTIVE / 1
fired / VERB / 1
next / PREPOSITION / 1
ear / NOUN / 1
vicious / ADJECTIVE / 1
whoosh / OTHER / 1
stroke / NOUN / 1
old / ADJECTIVE / 7
steam / NOUN / 1
wildly / None / 1
sound / NOUN / 1
ending / VERB / 1
abruptly / None / 2
top / NOUN / 4
frantic / ADJECTIVE / 1
struggling / VERB / 3
closed / VERB / 1
atavistic / ADJECTIVE / 1
sense / NOUN / 6
survive / VERB / 1
alien / ADJECTIVE / 1
element / NOUN / 1
panic / VERB / 1
whom / PRONOUN / 3
clung / VERB / 1
tremendous / ADJECTIVE / 1
wide / ADJECTIVE / 3
flippers / NOUN / 1
gave / VERB / 6
incredible / ADJECTIVE / 1
driving / VERB / 3
captured / VERB / 1
arms / NOUN / 3
pinioned / VERB / 1
twisted / VERB / 2
convulsively / None / 1
trying / VERB / 1
escape / VERB / 2
grimly / None / 1
wore / VERB / 2
apparatus / NOUN / 1
let / VERB / 9
rubber / NOUN / 2
glass / NOUN / 1
bounced / VERB / 1
painlessly / None / 1
chin / NOUN / 1
disappeared / VERB / 1
knuckles / NOUN / 1
scraped / VERB / 1
ripping / VERB / 1
split / VERB / 1
relaxed / VERB / 1
grip / NOUN / 1
slippery / ADJECTIVE / 2
spun / VERB / 1
completely / None / 2
stop / VERB / 1
rear / NOUN / 1
something / PRONOUN / 4
flailed / VERB / 1
stopped / VERB / 2
suspended / VERB / 2
rising / VERB / 2
sinking / VERB / 1
sharp / ADJECTIVE / 1
lanced / VERB / 1
bubble / NOUN / 1
escaped / VERB / 1
tortured / VERB / 1
lungs / NOUN / 1
joining / VERB / 1
dozens / NOUN / 1
others / NOUN / 6
sailed / VERB / 1
lazily / None / 1
helium / NOUN / 1
balloons / NOUN / 1
black / ADJECTIVE / 2
snake-like / ADJECTIVE / 1
object / NOUN / 1
swayed / VERB / 1
eerily / None / 1
front / NOUN / 3
spewing / VERB / 1
flat / ADJECTIVE / 1
cobra / NOUN / 1
hose / NOUN / 4
free / ADJECTIVE / 5
struck / VERB / 1
blow / NOUN / 2
desperately / None / 1
flashed / VERB / 1
catching / VERB / 1
neck / NOUN / 1
bend / NOUN / 1
elbow / NOUN / 1
loose / ADJECTIVE / 1
writhing / VERB / 1
bit / VERB / 1
hard / ADJECTIVE / 4
mouthpiece / NOUN / 1
exhaled / VERB / 1
nose / NOUN / 1
sucked / VERB / 1
excruciating / ADJECTIVE / 1
seized / VERB / 1
wild / ADJECTIVE / 1
exultation / NOUN / 1
signal / NOUN / 1
began / VERB / 2
thrash / VERB / 1
quick / ADJECTIVE / 1
sink / VERB / 2
relentlessly / None / 1
sucking / VERB / 1
inhaling / VERB / 1
belonged / VERB / 1
fighting / VERB / 1
romantic / ADJECTIVE / 1
concerns / VERB / 1
mrs. / NOUN / 119
joan / NOUN / 3
monroe / NOUN / 5
armour / NOUN / 2
f. / NOUN / 4
lee / NOUN / 1
h. / NOUN / 8
wendell / NOUN / 6
married / VERB / 1
4:30 / CONJUNCTION / 1
p.m. / None / 5
tomorrow / NOUN / 7
home / NOUN / 12
hampton / NOUN / 1
families / NOUN / 6
dozen / NOUN / 2
present / None / 3
bride's / NOUN / 4
walter / NOUN / 5
jr. / NOUN / 16
give / VERB / 7
marriage / NOUN / 5
group / NOUN / 8
junior / ADJECTIVE / 4
senior / ADJECTIVE / 3
bridegroom's / NOUN / 2
parents / NOUN / 2
barrett / NOUN / 1
wendells / NOUN / 1
returning / VERB / 2
winter / NOUN / 7
holiday / NOUN / 1
sarasota / NOUN / 1
fla. / NOUN / 3
occasion / NOUN / 1
mr. / NOUN / 63
wife / NOUN / 5
arrive / VERB / 5
boston / NOUN / 1
children / NOUN / 9
13 / CONJUNCTION / 2
kirkland / NOUN / 1
11 / CONJUNCTION / 1
father / NOUN / 4
charles / NOUN / 4
b. / NOUN / 9
christmas / NOUN / 2
holidays / NOUN / 2
can't / MODAL_AUXILIARY / 3
return / VERB / 3
young / ADJECTIVE / 9
peter / NOUN / 5
student / NOUN / 2
westminster / NOUN / 3
school / NOUN / 6
measles / NOUN / 1
sister / NOUN / 1
andrew / NOUN / 1
thomas / NOUN / 8
husband / NOUN / 2
live / VERB / 7
missoula / NOUN / 1
mont. / NOUN / 1
baby / NOUN / 2
mother / NOUN / 4
camilla / NOUN / 1
alsop / NOUN / 1
bride / NOUN / 2
house / NOUN / 9
take / VERB / 12
wedding / NOUN / 5
' / OTHER / 5
met / NOUN / 2
chicago / NOUN / 2
bulletins / VERB / 1
frank / NOUN / 3
s. / NOUN / 7
sims / NOUN / 2
president / NOUN / 7
women's / NOUN / 2
board / NOUN / 4
may / NOUN / 5
sponsor / VERB / 1
saturday / NOUN / 1
night / NOUN / 10
performance / NOUN / 2
turandot / NOUN / 1
benefit / NOUN / 4
birgit / NOUN / 1
nilsson / NOUN / 1
starred / VERB / 1
housed / VERB / 1
mccormick / NOUN / 1
theater / NOUN / 3
prove / VERB / 1
exciting / ADJECTIVE / 1
evening / NOUN / 7
adds / VERB / 2
board's / NOUN / 1
last / DETERMINER / 10
raising / NOUN / 2
event / NOUN / 7
harry / NOUN / 4
belafonte / NOUN / 1
off-beat / ADJECTIVE / 1
decided / VERB / 5
members / NOUN / 11
sulcer / NOUN / 1
winnetka / NOUN / 1
member / NOUN / 4
chairman / NOUN / 10
publicity / NOUN / 3
recently / None / 3
appointed / VERB / 1
vice / NOUN / 3
university / NOUN / 2
bringing / VERB / 2
east / NOUN / 2
recent / ADJECTIVE / 1
death / NOUN / 6
frederick / NOUN / 4
hamm / NOUN / 3
miss / NOUN / 15
terry / NOUN / 2
john / NOUN / 25
bruce / NOUN / 1
parichy / NOUN / 2
noon / NOUN / 1
reception / NOUN / 3
follow / VERB / 5
hotel / NOUN / 3
come / VERB / 14
stay / VERB / 2
g. / NOUN / 5
beadles' / NOUN / 1
beadles / NOUN / 1
formerly / None / 3
lived / VERB / 2
harvey / NOUN / 1
stevens / NOUN / 2
kenilworth / NOUN / 1
niece / NOUN / 2
uncles / NOUN / 1
aunts / NOUN / 1
rush / NOUN / 1
c. / NOUN / 5
butlers / NOUN / 1
homer / NOUN / 1
e. / NOUN / 6
robertsons / NOUN / 1
david / NOUN / 1
q. / NOUN / 1
porters / NOUN / 1
bridal / NOUN / 1
dinner / NOUN / 5
tonight / NOUN / 2
stevenses' / NOUN / 1
club / NOUN / 8
fete / VERB / 1
george / NOUN / 4
barnes / NOUN / 1
association / NOUN / 2
cocktail / NOUN / 2
party / NOUN / 10
buffet / NOUN / 2
supper / NOUN / 3
beginning / VERB / 2
5:30 / CONJUNCTION / 1
bus / NOUN / 1
carry / VERB / 2
jack / NOUN / 3
kramer's / NOUN / 1
tennis / NOUN / 1
matches / NOUN / 1
8 / CONJUNCTION / 3
loud / ADJECTIVE / 1
huzzahs / NOUN / 1
artistic / ADJECTIVE / 2
success / NOUN / 4
presbyterian-st. / NOUN / 1
luke's / NOUN / 1
show / NOUN / 5
ringing / VERB / 1
ears / NOUN / 1
director / NOUN / 4
helen / NOUN / 3
tieken / NOUN / 1
geraghty / NOUN / 4
( / OTHER / 36
maurice / NOUN / 1
p. / NOUN / 3
) / OTHER / 34
taking / VERB / 5
56 / CONJUNCTION / 1
earn / VERB / 1
greater / ADJECTIVE / 7
acclaim / NOUN / 1
as / PREPOSITION / 1
entertainment / NOUN / 2
next / DETERMINER / 8
summer's / NOUN / 1
fair / NOUN / 2
armed / VERB / 2
letters / NOUN / 2
embassies / NOUN / 1
ministers / NOUN / 1
countries / NOUN / 1
especially / None / 1
near / ADJECTIVE / 1
far / ADJECTIVE / 2
bushes / NOUN / 2
oriental / ADJECTIVE / 1
talent / NOUN / 2
expect / VERB / 4
establish / VERB / 2
closer / ADJECTIVE / 1
relations / NOUN / 3
cultural / ADJECTIVE / 1
activities / NOUN / 1
easy / ADJECTIVE / 2
fair / ADJECTIVE / 1
staff / NOUN / 4
bring / VERB / 8
acts / NOUN / 1
explains / VERB / 1
instance / NOUN / 2
djakarta / NOUN / 1
indonesia / NOUN / 1
groups / NOUN / 2
dancers / NOUN / 1
going / VERB / 6
try / VERB / 1
dervishes / NOUN / 1
damascus / NOUN / 2
obstacle / NOUN / 1
geraghty's / NOUN / 3
globe-girdling / ADJECTIVE / 1
smoothed / VERB / 1
representative / NOUN / 1
syria / NOUN / 1
upon / None / 1
explain / VERB / 1
meet / VERB / 4
border / NOUN / 2
country / NOUN / 8
newly / None / 1
obtain / VERB / 1
visa / NOUN / 1
honolulu / NOUN / 1
japan / NOUN / 1
hong / NOUN / 1
kong / NOUN / 1
manila / NOUN / 1
india / NOUN / 1
pakistan / NOUN / 1
beirut / NOUN / 1
london / NOUN / 6
paris / NOUN / 3
look / VERB / 6
wonderful / ADJECTIVE / 2
dec. / NOUN / 3
22 / CONJUNCTION / 3
deadline / NOUN / 1
return / NOUN / 1
geraghtys' / NOUN / 1
youngest / ADJECTIVE / 1
daughter / NOUN / 10
molly / NOUN / 2
bows / VERB / 1
already / None / 5
cotillion / NOUN / 1
gown / NOUN / 4
says / VERB / 5
invitations / NOUN / 4
addressed / VERB / 1
molly's / NOUN / 1
debut / NOUN / 2
tea / NOUN / 3
afternoon / NOUN / 4
29 / CONJUNCTION / 1
won't / MODAL_AUXILIARY / 5
international / ADJECTIVE / 3
folk / NOUN / 1
song / NOUN / 1
festival / NOUN / 1
singers / NOUN / 1
chicago's / NOUN / 2
sing / VERB / 1
songs / NOUN / 1
theme / NOUN / 2
continued / VERB / 4
balkan / NOUN / 1
strings / NOUN / 1
playing / VERB / 1
byron / NOUN / 1
harveys / NOUN / 1
racquet / NOUN / 1
after / PREPOSITION / 14
abra / NOUN / 1
prentice's / NOUN / 1
dance / NOUN / 2
wind / VERB / 1
richard / NOUN / 7
burkes' / NOUN / 1
wayne / NOUN / 4
setting / NOUN / 2
lambert / NOUN / 1
italian / ADJECTIVE / 2
met / VERB / 4
year / NOUN / 10
florence / NOUN / 3
smith / NOUN / 1
college / NOUN / 1
aldo / NOUN / 1
rostagno / NOUN / 1
son / NOUN / 5
guglielmo / NOUN / 1
rostagnos / NOUN / 1
burkes / NOUN / 2
europe / NOUN / 2
kankakee / NOUN / 1
telling / VERB / 1
engagement / NOUN / 4
burke / NOUN / 2
graduate / NOUN / 1
hall's / NOUN / 1
stayed / VERB / 2
career / NOUN / 5
girl / NOUN / 1
fiance / NOUN / 1
publishing / VERB / 2
firm / NOUN / 3
translates / VERB / 1
books / NOUN / 1
english / NOUN / 1
italian / NOUN / 1
december / NOUN / 4
place / NOUN / 8
farewell / NOUN / 1
sethness / NOUN / 2
planned / VERB / 4
sunday / NOUN / 3
giacomo / NOUN / 1
profili / NOUN / 1
canceled / VERB / 1
hospital / NOUN / 2
surgery / NOUN / 1
odell / NOUN / 1
clinton / NOUN / 1
king / NOUN / 1
holabird / NOUN / 1
norman / NOUN / 1
boothby / NOUN / 1
maureen / NOUN / 3
o'sullivan / NOUN / 2
judge / VERB / 1
costumes / NOUN / 1
grand / ADJECTIVE / 2
march / NOUN / 2
affaire / NOUN / 1
bal / NOUN / 1
masque / NOUN / 1
germania / NOUN / 1
raise / VERB / 2
center / NOUN / 5
plant / VERB / 1
crabapple / NOUN / 1
trees / NOUN / 2
along / PREPOSITION / 3
streets / NOUN / 1
lyon / NOUN / 2
winchell / NOUN / 1
well / ADJECTIVE / 2
rat-a-tat-tatty / ADJECTIVE / 1
wheeled / VERB / 1
thru / PREPOSITION / 2
town / NOUN / 4
trains / NOUN / 1
phoenix / NOUN / 1
ariz. / NOUN / 1
rancho / NOUN / 1
portable / ADJECTIVE / 1
typewriter / NOUN / 1
w. / NOUN / 4
retiring / VERB / 2
hinted / VERB / 1
ain't / VERB / 2
talking / VERB / 1
pretty / ADJECTIVE / 3
sunny / NOUN / 1
ainsworth / NOUN / 1
ex-mrs. / NOUN / 2
tommy / NOUN / 1
manville / NOUN / 1
bud / NOUN / 1
arvey / NOUN / 1
joined / VERB / 3
promotional / ADJECTIVE / 1
copy / NOUN / 2
writer / NOUN / 2
whiz / NOUN / 1
argument / NOUN / 1
fallout / NOUN / 1
shelters / NOUN / 1
drop / NOUN / 2
beer / NOUN / 1
stein / NOUN / 1
clubs / NOUN / 2
pubs / NOUN / 1
nights / NOUN / 1
everybody / PRONOUN / 1
different / ADJECTIVE / 5
ethics / NOUN / 1
morals / NOUN / 1
away / None / 4
neighbors / NOUN / 3
comic / NOUN / 1
gary / NOUN / 1
morton / NOUN / 2
signed / VERB / 2
play / VERB / 3
18 / CONJUNCTION / 2
heart / NOUN / 2
lucille / NOUN / 1
ball / NOUN / 3
for / None / 1
headline / NOUN / 1
scoop / NOUN / 1
jane / NOUN / 4
russell / NOUN / 1
rare / ADJECTIVE / 2
singing / VERB / 1
appearances / NOUN / 1
opening / VERB / 2
jan. / NOUN / 1
russell's / NOUN / 1
run / NOUN / 1
debuting / VERB / 2
week / NOUN / 11
sellout / NOUN / 1
johnny / NOUN / 4
ray / NOUN / 2
l. / NOUN / 6
r. / NOUN / 4
cry / VERB / 1
warbling / VERB / 1
severe / ADJECTIVE / 1
medico's / NOUN / 1
injection / NOUN / 1
inflamed / VERB / 1
nerve / NOUN / 1
barely / None / 1
walk / VERB / 1
charley / NOUN / 2
simonelli / NOUN / 1
top / ADJECTIVE / 3
film / NOUN / 1
studio / NOUN / 1
exec / NOUN / 2
honest / ADJECTIVE / 1
column / NOUN / 1
bulletin'd / VERB / 1
wed / VERB / 1
rosemary / NOUN / 1
strafaci / NOUN / 1
n. / NOUN / 4
y. / NOUN / 1
today / NOUN / 4
handsome / ADJECTIVE / 2
bachelor / NOUN / 1
favorite / ADJECTIVE / 1
date / NOUN / 5
hollywood's / NOUN / 1
glamor / NOUN / 2
gals / NOUN / 1
simon / NOUN / 1
danny / NOUN / 3
fund / NOUN / 2
filled / VERB / 2
me / PRONOUN / 7
low-down / ADJECTIVE / 1
phonies / NOUN / 1
using / VERB / 2
phones / NOUN / 1
solicit / VERB / 1
funds / NOUN / 2
danny's / NOUN / 1
memphis / NOUN / 1
emergency / NOUN / 2
telephone / NOUN / 4
building / NOUN / 2
drive / NOUN / 1
current / ADJECTIVE / 2
staging / VERB / 1
big / ADJECTIVE / 5
nov. / NOUN / 2
25 / CONJUNCTION / 3
entertain / VERB / 5
thousands / NOUN / 2
underprivileged / ADJECTIVE / 1
kids / NOUN / 1
mail / VERB / 2
contribs / NOUN / 1
7599 / CONJUNCTION / 1
anybody / PRONOUN / 1
solicits / VERB / 1
phone / NOUN / 1
sure / ADJECTIVE / 2
dough / NOUN / 1
above / ADJECTIVE / 1
olivia / NOUN / 1
de / NOUN / 1
havilland / NOUN / 1
broadway / NOUN / 1
play / NOUN / 3
garson / NOUN / 1
kanin / NOUN / 1
season / NOUN / 4
move / VERB / 3
gotham / NOUN / 1
gorgeous / ADJECTIVE / 1
doris / NOUN / 1
producer-hubby / NOUN / 1
marty / NOUN / 1
melcher / NOUN / 1
drive / VERB / 1
tour / NOUN / 1
pop / VERB / 1
u-i / NOUN / 1
milt / NOUN / 1
rackmil / NOUN / 1
carnegie / NOUN / 1
toast / VERB / 1
300 / CONJUNCTION / 4
movie / NOUN / 2
exhibitors / NOUN / 1
affair / NOUN / 1
screenings / NOUN / 1
doris' / NOUN / 1
whee / OTHER / 1
people / NOUN / 12
lovely / ADJECTIVE / 1
thrush / NOUN / 1
annamorena / NOUN / 1
promising / ADJECTIVE / 1
biz / NOUN / 1
apply / VERB / 1
touches / NOUN / 1
hubby / NOUN / 1
lenobel's / NOUN / 1
fur / NOUN / 6
typical / ADJECTIVE / 2
touch / NOUN / 2
sold / VERB / 1
$10,000 / NOUN / 1
morning / NOUN / 3
light / ADJECTIVE / 1
mink / NOUN / 1
freddie / NOUN / 1
wacker / NOUN / 1
frau / NOUN / 1
jana / NOUN / 1
mason / NOUN / 1
ex-singer / NOUN / 1
honor / NOUN / 4
wackers' / NOUN / 1
fur / PREPOSITION / 1
goodness / NOUN / 1
sake / NOUN / 1
emcee / NOUN / 1
herbert / NOUN / 1
insists / VERB / 1
dick / NOUN / 1
nixon's / NOUN / 1
campaign / NOUN / 1
slogan / NOUN / 1
governor / NOUN / 3
california / NOUN / 5
generously / None / 1
buy / VERB / 4
candy / NOUN / 1
town's / NOUN / 2
worthiest / ADJECTIVE / 1
charities / NOUN / 1
bet / NOUN / 1
darlin' / ADJECTIVE / 1
dazzler / NOUN / 1
paree / NOUN / 1
genevieve / NOUN / 1
room / NOUN / 3
dave / NOUN / 1
trager / NOUN / 1
quite / None / 1
showman / NOUN / 1
boss / NOUN / 2
pro / ADJECTIVE / 1
basketball / NOUN / 1
packers / NOUN / 1
ticket / NOUN / 1
holders / NOUN / 1
jump / NOUN / 1
st. / NOUN / 7
louis / NOUN / 4
opener / NOUN / 1
mentioned / VERB / 1
ol' / ADJECTIVE / 1
casey / NOUN / 1
stengel / NOUN / 1
takes / VERB / 3
baseballight / NOUN / 1
ever / None / 6
wear / VERB / 1
uniform / NOUN / 1
past / ADJECTIVE / 3
present / ADJECTIVE / 2
yankees / NOUN / 1
dodgers / NOUN / 1
mets / NOUN / 1
bernie / NOUN / 1
kriss / NOUN / 1
calls / VERB / 1
bayonet / NOUN / 1
clashes / NOUN / 1
berlin's / NOUN / 3
jotted / VERB / 1
mad / ADJECTIVE / 1
dept. / NOUN / 1
khrush / NOUN / 1
kremlin / NOUN / 2
crowd / NOUN / 1
confident / ADJECTIVE / 1
right / None / 1
contaminating / VERB / 1
earth's / NOUN / 1
including / PREPOSITION / 3
via / PREPOSITION / 3
mighty / ADJECTIVE / 1
megaton / NOUN / 1
bombs / NOUN / 7
peasants / NOUN / 1
don't / VERB / 2
know / VERB / 7
albert / NOUN / 3
luthuli / NOUN / 1
awarded / VERB / 1
nobel / NOUN / 1
prize / NOUN / 2
integration / NOUN / 1
struggles / NOUN / 1
permission / NOUN / 1
fly / VERB / 1
collect / VERB / 1
hmpf / OTHER / 1
frothier / ADJECTIVE / 1
weissmuller / NOUN / 1
tarzan / NOUN / 4
telephoned / VERB / 1
muttered / VERB / 1
snapped / VERB / 1
actually / None / 2
glib / ADJECTIVE / 1
garrulous / ADJECTIVE / 1
guy / NOUN / 1
humor / NOUN / 1
everywhere / None / 1
sidled / VERB / 1
guttural / ADJECTIVE / 1
bit / NOUN / 3
broke / VERB / 2
frightening / VERB / 1
yodel / NOUN / 1
kids / VERB / 1
roles / NOUN / 1
anyone / PRONOUN / 5
dynamite / NOUN / 2
flicker / NOUN / 1
opens / VERB / 1
popular / ADJECTIVE / 1
prices / NOUN / 1
2 / CONJUNCTION / 6
masterful / ADJECTIVE / 1
making / NOUN / 1
bill / NOUN / 2
veeck's / NOUN / 1
health / NOUN / 2
dynamo / NOUN / 1
stage / NOUN / 1
medics / NOUN / 1
insist / VERB / 2
rest / VERB / 1
several / DETERMINER / 8
months / NOUN / 5
getting / VERB / 3
baseball / NOUN / 1
swim / NOUN / 1
keeps / VERB / 1
doings / NOUN / 1
daily / None / 1
tells / VERB / 1
misses / VERB / 1
ticker / NOUN / 1
boy / NOUN / 1
jean / NOUN / 1
fardulli's / NOUN / 1
local / ADJECTIVE / 4
import / VERB / 1
crazy / ADJECTIVE / 1
start / VERB / 2
lessons / NOUN / 1
pronto / None / 1
cheer / NOUN / 1
francis / NOUN / 3
lorenz / NOUN / 1
state / NOUN / 7
treasurer / NOUN / 2
probate / NOUN / 1
advisory / NOUN / 1
suggestions / NOUN / 1
how / None / 10
handle / VERB / 1
opening / NOUN / 1
safety / NOUN / 4
deposit / NOUN / 1
boxes / NOUN / 1
after / CONJUNCTION / 2
somebody / PRONOUN / 1
dies / VERB / 1
vast / ADJECTIVE / 1
productive / ADJECTIVE / 1
agricultural / ADJECTIVE / 5
summer / NOUN / 6
1960 / CONJUNCTION / 1
bitter / ADJECTIVE / 2
labor-management / NOUN / 2
struggle / NOUN / 4
contestants / NOUN / 2
economic / ADJECTIVE / 2
awoc / NOUN / 5
afl-cio / NOUN / 2
employers / NOUN / 1
virtue / NOUN / 1
legal / ADJECTIVE / 6
farm / NOUN / 7
placement / NOUN / 4
program / NOUN / 9
necessarily / None / 2
ourselves / PRONOUN / 2
pleasant / ADJECTIVE / 1
position / NOUN / 6
endeavored / VERB / 1
neutral / ADJECTIVE / 1
parties / NOUN / 6
required / VERB / 1
rule / VERB / 3
specific / ADJECTIVE / 2
situations / NOUN / 3
arose / VERB / 3
inevitably / None / 1
pleased / VERB / 1
displeased / VERB / 2
regardless / None / 3
ruled / VERB / 1
interpreted / VERB / 1
decision / NOUN / 7
implying / VERB / 1
favoritism / NOUN / 1
consoled / VERB / 1
normal / ADJECTIVE / 1
consequences / NOUN / 1
adversary / NOUN / 1
proceeding / NOUN / 1
disconcerting / ADJECTIVE / 1
nevertheless / None / 2
read / VERB / 3
labor / NOUN / 18
weekly / NOUN / 1
perluss / NOUN / 2
knuckles / VERB / 1
growers / NOUN / 2
confronted / VERB / 1
growers' / NOUN / 1
publication / NOUN / 1
states / VERB / 3
recognizes / VERB / 1
phony / ADJECTIVE / 1
trumped-up / ADJECTIVE / 1
strikes / NOUN / 3
number / NOUN / 3
sporadic / ADJECTIVE / 1
attempts / NOUN / 2
organize / VERB / 1
workers / NOUN / 11
sucess / NOUN / 1
variety / NOUN / 2
reasons / NOUN / 1
inadequately / None / 1
financed / VERB / 1
experienced / VERB / 2
support / NOUN / 4
whole / NOUN / 2
pattern / NOUN / 2
organizing / VERB / 1
full / ADJECTIVE / 3
supplied / VERB / 1
moral / ADJECTIVE / 1
skillful / ADJECTIVE / 1
financial / ADJECTIVE / 2
resources / NOUN / 1
personal / ADJECTIVE / 1
sympathies / NOUN / 1
lie / VERB / 2
changed / VERB / 3
ignore / VERB / 2
result / NOUN / 6
organizational / ADJECTIVE / 1
effort / NOUN / 2
past / NOUN / 1
traditional / ADJECTIVE / 1
weapons / NOUN / 2
strike / NOUN / 5
picket / NOUN / 1
considerable / ADJECTIVE / 2
wages / NOUN / 2
union / NOUN / 3
select / VERB / 1
management / NOUN / 3
strategy / NOUN / 1
selective / ADJECTIVE / 1
say / VERB / 5
concentrate / VERB / 1
particular / DETERMINER / 4
crop / NOUN / 2
strategic / ADJECTIVE / 1
rather / None / 2
broadside / ADJECTIVE / 1
throughout / PREPOSITION / 3
primarily / None / 1
involved / VERB / 6
disputes / NOUN / 3
referral / NOUN / 4
obligations / NOUN / 1
normally / None / 1
covered / VERB / 2
unemployment / NOUN / 1
insurance / NOUN / 3
arise / VERB / 2
regarding / PREPOSITION / 1
payments / NOUN / 1
dispute / NOUN / 17
provision / NOUN / 5
within / PREPOSITION / 3
realm / NOUN / 1
possibility / NOUN / 2
referrals / NOUN / 8
establishment / NOUN / 3
exists / VERB / 3
mexican / ADJECTIVE / 2
nationals / NOUN / 2
employed / VERB / 2
ranch / NOUN / 3
us / PRONOUN / 18
remember / VERB / 4
think / VERB / 6
milestone / NOUN / 1
public / ADJECTIVE / 8
services / NOUN / 2
infrequently / None / 1
living / VERB / 4
continuing / VERB / 2
operating / VERB / 1
system / NOUN / 2
provisions / NOUN / 7
clearly / None / 2
accepted / VERB / 4
enacting / VERB / 1
2051 / CONJUNCTION / 1
accepts / VERB / 1
observe / VERB / 1
comply / VERB / 1
requirements / NOUN / 1
act / NOUN / 2
respect / NOUN / 4
carrying / VERB / 3
authorized / VERB / 1
directed / VERB / 2
provide / VERB / 3
giving / NOUN / 1
notice / NOUN / 6
lock-outs / NOUN / 1
applicants / NOUN / 1
employment / NOUN / 4
empower / VERB / 1
adopt / VERB / 2
regulations / NOUN / 3
done / VERB / 11
pertinent / ADJECTIVE / 1
regulation / NOUN / 2
purposes / NOUN / 1
follows / VERB / 1
person / NOUN / 3
shall / MODAL_AUXILIARY / 1
filling / NOUN / 3
aid / VERB / 1
indirectly / None / 1
filling / VERB / 2
job / NOUN / 7
1 / CONJUNCTION / 7
vacant / ADJECTIVE / 4
former / DETERMINER / 7
occupant / NOUN / 1
locked / VERB / 1
issue / NOUN / 10
positions / NOUN / 1
subparagraph / NOUN / 1
paragraph / NOUN / 1
individual / NOUN / 2
written / VERB / 5
analyzing / VERB / 1
sentence / NOUN / 1
permits / VERB / 1
certain / DETERMINER / 1
packing / VERB / 5
shed / NOUN / 4
fields / NOUN / 2
involving / PREPOSITION / 1
fieldwork / NOUN / 2
refer / VERB / 2
troublesome / ADJECTIVE / 1
cases / NOUN / 5
arisen / VERB / 2
part / NOUN / 7
currently / None / 1
note / VERB / 1
prohibits / VERB / 1
condition / NOUN / 6
employer / NOUN / 3
representatives / NOUN / 1
beyond / PREPOSITION / 2
authority / NOUN / 3
prohibition / NOUN / 1
grounds / NOUN / 3
requires / VERB / 3
prospective / ADJECTIVE / 1
worker / NOUN / 1
matter / NOUN / 5
got / VERB / 4
courts / NOUN / 2
early / ADJECTIVE / 6
digiorgio / NOUN / 1
pear / NOUN / 1
orchards / NOUN / 1
jobs / NOUN / 6
accordingly / None / 5
clause / NOUN / 1
